Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2008-08-11,105.051529,64.114159,94.713791,222.806412,406.917786,217.327164,568.498108,405.741425,225.937546,604.382263,205.391907,70.14856,60.582233,253.8246,48.960876,161.880829,517.503967,114.446518,673.215698,81.820808,82.281845,486.465485,55.236626,104.12104,63.796246,31.276222,486.491791,353.00473,100.838303,18.941263
2008-08-12,111.111855,63.991573,89.945679,216.798889,396.088409,217.327164,559.258667,389.401886,218.203156,598.499573,203.051727,67.204681,58.564354,243.732971,49.54377,157.533005,510.260376,115.309135,637.978882,80.712074,80.782784,489.863678,54.020977,103.397987,62.20565,31.276222,458.689545,346.483246,98.76413,18.682068
2008-08-13,109.139137,64.997673,90.400673,222.610733,395.438599,217.327164,560.191956,381.113678,210.140732,595.576416,203.720352,64.669769,57.916206,247.000595,49.366322,160.263367,500.66214,115.231552,630.357666,80.445107,81.074265,489.581818,53.941193,103.882431,61.827564,31.276222,460.575806,350.654419,98.809715,18.369703
2008-08-14,101.62149,63.60854,87.278046,219.890717,394.331665,217.327164,549.972656,361.261536,202.889725,573.726379,199.666855,61.274868,55.694008,256.765137,48.428692,150.197128,476.433167,113.05957,616.706726,79.081001,79.325363,475.862,50.57518,104.677795,61.663574,31.276222,464.913757,352.09436,97.818184,17.678513
2008-08-18,102.11911,64.04776,86.206001,216.251007,388.989197,217.327164,561.68512,372.533386,207.240341,579.243713,202.048813,60.523994,54.906975,258.733612,47.541695,146.867172,482.593781,110.170059,607.843079,79.655388,78.325996,465.331238,50.559574,105.89978,60.672073,31.276222,454.955048,356.477203,98.44503,17.738327
2008-08-19,101.132751,60.766464,84.735046,214.939896,380.999573,217.327164,561.031921,360.456451,208.457474,580.961182,203.46962,61.738892,54.953266,257.388824,46.566051,140.437515,478.922516,108.83197,584.143677,78.795357,76.785286,464.579193,50.075745,106.011856,60.393887,31.276222,452.012451,355.757263,98.296837,17.558884
2008-08-20,102.998833,61.208221,83.974648,213.296143,392.382385,217.327164,560.471863,364.924164,213.714432,587.062988,202.633835,61.734394,56.110664,258.171234,46.515339,141.159576,498.708618,106.572304,590.969177,76.811897,77.743034,469.346771,50.112156,108.828186,60.49371,31.276222,456.614838,355.693726,98.843887,17.778204
2008-08-21,100.29747,61.289932,80.852013,202.729187,384.633392,217.327164,552.725769,348.821381,201.266876,586.332214,197.284912,58.530716,54.07365,252.965607,46.287258,134.76712,482.817047,104.691223,586.181885,74.813332,76.951851,462.696899,46.55365,104.880264,59.623566,31.276222,444.618591,346.292725,96.063087,17.106953
2008-08-22,102.270172,61.300152,84.691437,208.893219,388.315338,217.327164,546.659607,360.045898,206.256256,583.884216,204.639725,58.65836,54.814388,257.616852,46.147903,139.322662,478.546295,106.485443,598.979553,75.328537,75.869179,469.660522,46.692387,104.807938,60.714878,31.276222,448.503601,346.568115,95.174149,17.060429
2008-08-25,103.220993,61.361431,85.433144,210.947952,391.6604,217.327164,546.846313,373.109741,208.569687,586.368774,203.845718,59.69104,54.490311,258.832703,46.490021,142.28717,478.509186,109.277992,592.011902,75.035767,76.785286,466.586151,47.080841,114.548218,61.955978,31.276222,441.826385,346.356293,95.652809,17.698452
2008-08-26,101.337135,61.537636,84.766228,214.528976,389.759247,217.327164,535.320435,370.015564,216.744308,583.190002,206.854507,60.697205,57.314365,258.004059,47.00951,146.302872,481.145447,111.362305,598.932068,75.299156,76.993469,455.857117,47.56641,116.115051,61.84185,31.276222,435.752655,352.475433,97.704216,17.525652
